Metric,Value
PBS_total_pre_filter,245
PBS_retained,15
PBS_filtered,230
Virus_total_pre_filter,236
Virus_retained,7
Virus_filtered,229
Virus_total_aligned_to_PBS,0
Virus_total_unaligned_to_PBS,7
Virus_total_aligned_pct,0.0
Virus_total_unaligned_pct,100.0
