Metric,Value
PBS_total_pre_filter,153
PBS_retained,21
PBS_filtered,132
Virus_total_pre_filter,133
Virus_retained,36
Virus_filtered,97
Virus_total_aligned_to_PBS,28
Virus_total_unaligned_to_PBS,8
Virus_total_aligned_pct,77.78
Virus_total_unaligned_pct,22.22
