Metric,Value
PBS_total_pre_filter,245
PBS_retained,15
PBS_filtered,230
Virus_total_pre_filter,261
Virus_retained,9
Virus_filtered,252
Virus_total_aligned_to_PBS,3
Virus_total_unaligned_to_PBS,6
Virus_total_aligned_pct,33.33
Virus_total_unaligned_pct,66.67
