Metric,Value
PBS_total_pre_filter,221
PBS_retained,61
PBS_filtered,160
Virus_total_pre_filter,179
Virus_retained,14
Virus_filtered,165
Virus_total_aligned_to_PBS,4
Virus_total_unaligned_to_PBS,10
Virus_total_aligned_pct,28.57
Virus_total_unaligned_pct,71.43
