Metric,Value
PBS_total_pre_filter,282
PBS_retained,26
PBS_filtered,256
Virus_total_pre_filter,304
Virus_retained,21
Virus_filtered,283
Virus_total_aligned_to_PBS,4
Virus_total_unaligned_to_PBS,17
Virus_total_aligned_pct,19.05
Virus_total_unaligned_pct,80.95
