Metric,Value
PBS_total_pre_filter,17
PBS_retained,2
PBS_filtered,15
Virus_total_pre_filter,22
Virus_retained,0
Virus_filtered,22
Virus_total_aligned_to_PBS,0
Virus_total_unaligned_to_PBS,0
Virus_total_aligned_pct,0.0
Virus_total_unaligned_pct,0.0
