Metric,Value
PBS_total_pre_filter,55
PBS_retained,3
PBS_filtered,52
Virus_total_pre_filter,88
Virus_retained,2
Virus_filtered,86
Virus_total_aligned_to_PBS,1
Virus_total_unaligned_to_PBS,1
Virus_total_aligned_pct,50.0
Virus_total_unaligned_pct,50.0
