Metric,Value
PBS_total_pre_filter,221
PBS_retained,61
PBS_filtered,160
Virus_total_pre_filter,249
Virus_retained,41
Virus_filtered,208
Virus_total_aligned_to_PBS,30
Virus_total_unaligned_to_PBS,11
Virus_total_aligned_pct,73.17
Virus_total_unaligned_pct,26.83
