Metric,Value
PBS_total_pre_filter,221
PBS_retained,61
PBS_filtered,160
Virus_total_pre_filter,186
Virus_retained,50
Virus_filtered,136
Virus_total_aligned_to_PBS,42
Virus_total_unaligned_to_PBS,8
Virus_total_aligned_pct,84.0
Virus_total_unaligned_pct,16.0
