Metric,Value
PBS_total_pre_filter,46
PBS_retained,2
PBS_filtered,44
Virus_total_pre_filter,79
Virus_retained,0
Virus_filtered,79
Virus_total_aligned_to_PBS,0
Virus_total_unaligned_to_PBS,0
Virus_total_aligned_pct,0.0
Virus_total_unaligned_pct,0.0
