Metric,Value
PBS_total_pre_filter,80
PBS_retained,75
PBS_filtered,5
Virus_total_pre_filter,7829
Virus_retained,3063
Virus_filtered,4766
Virus_total_aligned_to_PBS,1626
Virus_total_unaligned_to_PBS,1437
Virus_total_aligned_pct,53.09
Virus_total_unaligned_pct,46.91
