Metric,Value
PBS_total_pre_filter,153
PBS_retained,21
PBS_filtered,132
Virus_total_pre_filter,204
Virus_retained,35
Virus_filtered,169
Virus_total_aligned_to_PBS,27
Virus_total_unaligned_to_PBS,8
Virus_total_aligned_pct,77.14
Virus_total_unaligned_pct,22.86
