Metric,Value
PBS_total_pre_filter,245
PBS_retained,15
PBS_filtered,230
Virus_total_pre_filter,185
Virus_retained,9
Virus_filtered,176
Virus_total_aligned_to_PBS,5
Virus_total_unaligned_to_PBS,4
Virus_total_aligned_pct,55.56
Virus_total_unaligned_pct,44.44
