Metric,Value
PBS_total_pre_filter,84
PBS_retained,1
PBS_filtered,83
Virus_total_pre_filter,81
Virus_retained,6
Virus_filtered,75
Virus_total_aligned_to_PBS,0
Virus_total_unaligned_to_PBS,6
Virus_total_aligned_pct,0.0
Virus_total_unaligned_pct,100.0
