Metric,Value
PBS_total_pre_filter,65
PBS_retained,2
PBS_filtered,63
Virus_total_pre_filter,78
Virus_retained,1
Virus_filtered,77
Virus_total_aligned_to_PBS,0
Virus_total_unaligned_to_PBS,1
Virus_total_aligned_pct,0.0
Virus_total_unaligned_pct,100.0
