Metric,Value
PBS_total_pre_filter,170
PBS_retained,44
PBS_filtered,126
Virus_total_pre_filter,108
Virus_retained,16
Virus_filtered,92
Virus_total_aligned_to_PBS,8
Virus_total_unaligned_to_PBS,8
Virus_total_aligned_pct,50.0
Virus_total_unaligned_pct,50.0
