Metric,Value
PBS_total_pre_filter,72
PBS_retained,3
PBS_filtered,69
Virus_total_pre_filter,75
Virus_retained,2
Virus_filtered,73
Virus_total_aligned_to_PBS,0
Virus_total_unaligned_to_PBS,2
Virus_total_aligned_pct,0.0
Virus_total_unaligned_pct,100.0
