Metric,Value
PBS_total_pre_filter,282
PBS_retained,26
PBS_filtered,256
Virus_total_pre_filter,300
Virus_retained,15
Virus_filtered,285
Virus_total_aligned_to_PBS,3
Virus_total_unaligned_to_PBS,12
Virus_total_aligned_pct,20.0
Virus_total_unaligned_pct,80.0
