Metric,Value
PBS_total_pre_filter,153
PBS_retained,21
PBS_filtered,132
Virus_total_pre_filter,135
Virus_retained,10
Virus_filtered,125
Virus_total_aligned_to_PBS,5
Virus_total_unaligned_to_PBS,5
Virus_total_aligned_pct,50.0
Virus_total_unaligned_pct,50.0
