Metric,Value
PBS_total_pre_filter,79
PBS_retained,1
PBS_filtered,78
Virus_total_pre_filter,155
Virus_retained,5
Virus_filtered,150
Virus_total_aligned_to_PBS,0
Virus_total_unaligned_to_PBS,5
Virus_total_aligned_pct,0.0
Virus_total_unaligned_pct,100.0
