Metric,Value
PBS_total_pre_filter,71
PBS_retained,0
PBS_filtered,71
Virus_total_pre_filter,94
Virus_retained,0
Virus_filtered,94
Virus_total_aligned_to_PBS,0
Virus_total_unaligned_to_PBS,0
Virus_total_aligned_pct,0.0
Virus_total_unaligned_pct,0.0
