Metric,Value
PBS_total_pre_filter,70
PBS_retained,2
PBS_filtered,68
Virus_total_pre_filter,52
Virus_retained,3
Virus_filtered,49
Virus_total_aligned_to_PBS,1
Virus_total_unaligned_to_PBS,2
Virus_total_aligned_pct,33.33
Virus_total_unaligned_pct,66.67
