Metric,Value
PBS_total_pre_filter,170
PBS_retained,44
PBS_filtered,126
Virus_total_pre_filter,191
Virus_retained,37
Virus_filtered,154
Virus_total_aligned_to_PBS,35
Virus_total_unaligned_to_PBS,2
Virus_total_aligned_pct,94.59
Virus_total_unaligned_pct,5.41
